MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
368052580,2023-06-30T04:33:38,29.30655,-94.82492,0.0,349.4,206.0,WOOD RIVER,IMO101233527,WDK4175,57,12,114,34,3.0,57,A
368119840,2023-06-30T04:33:28,29.28352,-94.85722,0.0,35.3,65.0,WRAPPED UP,IMO0000000,,37,,0,0,,,B
366812000,2023-06-30T04:31:38,29.29489,-94.85792,0.0,360.0,511.0,BRUTUS,,WDG5253,90,5,30,7,,70,A
368611000,2023-06-30T04:27:13,29.29541,-94.85738,0.0,360.0,511.0,NEPTUNE,,WDG5258,90,5,32,7,,70,A
338245332,2023-06-30T04:33:17,29.28347,-94.85558,0.0,360.0,511.0,RUBAIYAT,IMO0000000,,37,,12,4,,,B
366874110,2023-06-30T04:32:43,29.31235,-94.80434,0.0,319.6,511.0,PETITE,IMO8769810,WDB2268,90,0,22,17,1.7,99,A
367771000,2023-06-30T04:33:29,29.30842,-94.80832,0.0,127.3,92.0,INNOVATION,IMO9542594,WDF4831,31,5,41,12,5.8,57,A
368145870,2023-06-30T04:32:09,29.17484,-95.10491,0.3,243.0,511.0,LILLIANNE D,,WDL5939,57,12,123,34,3.1,57,A
366845050,2023-06-30T04:24:00,29.31227,-94.80254,0.0,296.3,511.0,ERIN T,,WDII,60,0,29,7,,40,A
366845050,2023-06-30T04:34:20,29.31228,-94.80253,0.0,291.5,511.0,ERIN T,,WDII,60,0,29,7,,40,A
368145870,2023-06-30T04:33:10,29.17480,-95.10492,0.0,201.6,511.0,LILLIANNE D,,WDL5939,57,12,123,34,3.1,57,A
366884150,2023-06-30T04:27:52,29.30526,-94.81893,0.0,8.3,191.0,MARTIN EXPRESS,IMO8644448,WDB3169,31,12,16,6,,57,A
365973420,2023-06-30T04:32:26,29.30720,-94.87789,7.1,55.6,511.0,CHARLES ALFRED,,WYU9726,31,0,16,6,0.0,31,A
367690010,2023-06-30T04:33:34,29.16908,-95.12017,4.5,56.1,57.0,CAPT PRIMEAUX,,WDI3600,31,12,23,,,57,A
368926309,2023-06-30T04:28:04,29.31271,-94.81781,0.0,306.4,511.0,R/V MANTA,,WZ 2603,0,5,30,12,1.5,0,A
366812000,2023-06-30T04:32:49,29.29487,-94.85793,0.0,360.0,511.0,BRUTUS,,WDG5253,90,5,30,7,,70,A
367113150,2023-06-30T04:23:40,29.16837,-95.12141,6.0,233.7,237.0,CHRIS PIKE,,WDD2269,31,0,26,9,,31,A
